task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_1,Camera_Sensor,1,5.0,7.0,1
Task_0,Camera_Sensor,1,18.0,18.0,1
Task_4,Bitmap_Processor,1,4.0,7.0,1
Task_5,Bitmap_Processor,1,16.0,16.0,1
Task_3,Image_Processor,1,-1.0,-1.0,1
Task_2,Image_Processor,1,-1.0,-1.0,1
Task_10,Control_Unit,1,2.0,9.0,1
Task_12,Control_Unit,1,9.0,12.0,1
Task_11,Control_Unit,1,6.0,15.0,1
Task_13,Control_Unit,1,3.0,18.0,1
Task_15,Control_Unit,1,13.0,29.0,1
Task_14,Control_Unit,1,7.0,31.0,1
Task_6,Lidar_Sensor,1,5.0,15.0,1
Task_9,Lidar_Sensor,1,11.0,23.0,1
